# 0.02 M & 2ml FeCl_3, 1x & 2ml I-
# Data collected on 2026-01-21
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.0
4.0,0.0
4.5,0.0
5.0,0.0
5.5,0.0
6.0,0.0
6.5,0.0
7.0,0.027
7.5,0.034
8.0,0.041
8.5,0.045
9.0,0.05
9.5,0.054
10.0,0.058
10.5,0.062
11.0,0.066
11.5,0.07
12.0,0.073
12.5,0.076
13.0,0.08
13.5,0.084
14.0,0.087
14.5,0.091
15.0,0.095
15.5,0.097
16.0,0.101
16.5,0.105
17.0,0.109
17.5,0.111
18.0,0.115
18.5,0.119
19.0,0.122
19.5,0.125
20.0,0.128
20.5,0.132
21.0,0.135
21.5,0.138
22.0,0.142
22.5,0.145
23.0,0.147
23.5,0.151
24.0,0.153
24.5,0.156
25.0,0.16
25.5,0.162
26.0,0.164
26.5,0.168
27.0,0.17
27.5,0.173
28.0,0.176
28.5,0.179
29.0,0.181
29.5,0.183
30.0,0.186
30.5,0.188
31.0,0.191
31.5,0.193
32.0,0.196
32.5,0.198
33.0,0.2
33.5,0.203
34.0,0.205
34.5,0.208
35.0,0.21
35.5,0.213
36.0,0.216
36.5,0.218
37.0,0.22
37.5,0.223
38.0,0.225
38.5,0.227
39.0,0.231
39.5,0.233
40.0,0.234
40.5,0.237
41.0,0.239
41.5,0.241
42.0,0.243
42.5,0.246
43.0,0.248
43.5,0.25
44.0,0.253
44.5,0.255
45.0,0.258
45.5,0.261
46.0,0.263
46.5,0.265
47.0,0.267
47.5,0.268
48.0,0.271
48.5,0.273
49.0,0.275
49.5,0.278
50.0,0.28
50.5,0.282
51.0,0.284
51.5,0.286
52.0,0.288
52.5,0.29
53.0,0.292
53.5,0.294
54.0,0.297
54.5,0.299
55.0,0.3
55.5,0.302
56.0,0.304
56.5,0.306
57.0,0.309
57.5,0.311
58.0,0.312
58.5,0.314
59.0,0.315
59.5,0.317
60.0,0.319
