# 0.02 M & 2ml FeCl_3, 0.502x & 2ml I-
# Data collected on 2026-01-21
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.0
4.0,0.0
4.5,0.0
5.0,0.0
5.5,0.0
6.0,0.0
6.5,0.0
7.0,0.0
7.5,0.0
8.0,0.0
8.5,0.0
9.0,0.0
9.5,0.0
10.0,0.0
10.5,0.0
11.0,0.024
11.5,0.025
12.0,0.027
12.5,0.028
13.0,0.029
13.5,0.031
14.0,0.032
14.5,0.034
15.0,0.034
15.5,0.035
16.0,0.037
16.5,0.038
17.0,0.039
17.5,0.04
18.0,0.041
18.5,0.042
19.0,0.042
19.5,0.044
20.0,0.045
20.5,0.045
21.0,0.047
21.5,0.048
22.0,0.049
22.5,0.05
23.0,0.052
23.5,0.053
24.0,0.054
24.5,0.054
25.0,0.055
25.5,0.056
26.0,0.057
26.5,0.059
27.0,0.06
27.5,0.061
28.0,0.062
28.5,0.062
29.0,0.063
29.5,0.064
30.0,0.065
30.5,0.066
31.0,0.067
31.5,0.069
32.0,0.07
32.5,0.071
33.0,0.073
33.5,0.073
34.0,0.074
34.5,0.075
35.0,0.076
35.5,0.076
36.0,0.078
36.5,0.079
37.0,0.08
37.5,0.082
38.0,0.083
38.5,0.084
39.0,0.085
39.5,0.086
40.0,0.087
40.5,0.088
41.0,0.089
41.5,0.091
42.0,0.091
42.5,0.092
43.0,0.093
43.5,0.094
44.0,0.094
44.5,0.095
45.0,0.096
45.5,0.097
46.0,0.098
46.5,0.098
47.0,0.099
47.5,0.1
48.0,0.101
48.5,0.102
49.0,0.103
49.5,0.104
50.0,0.105
50.5,0.105
51.0,0.106
51.5,0.107
52.0,0.109
52.5,0.11
53.0,0.111
53.5,0.112
54.0,0.113
54.5,0.113
55.0,0.114
55.5,0.115
56.0,0.116
56.5,0.116
57.0,0.117
57.5,0.118
58.0,0.119
58.5,0.119
59.0,0.121
59.5,0.122
60.0,0.123
